"RESULTID","RACEID","DRIVERID","GRID","POSITIONTEXT","POINTS","LAPS","TIME","FASTESTLAP","FASTESTLAPSPEED"
202,27,6,16,"14",0,67,"+1:00.003",23,211.947
203,27,16,19,"15",0,67,"+1:09.488",66,211.408
204,27,21,20,"16",0,67,"+1:24.093",67,210.546
205,27,18,14,"17",0,66,"",56,212.097
206,27,22,18,"R",0,50,"",30,211.145
207,27,17,8,"R",0,40,"",20,213.278
208,27,10,11,"R",0,35,"",24,214.652
209,28,5,2,"1",10,70,"37:27.1",19,192.917
210,28,10,5,"2",8,70,"11.061",42,193.111
211,28,8,6,"3",6,70,"16.856",61,194.243
212,28,4,7,"4",5,70,"21.614",47,192.823
213,28,1,1,"5",4,70,"23.048",15,193.533
214,28,12,10,"6",3,70,"32.298",64,193.428
215,28,15,9,"7",2,70,"36.449",65,193.189
216,28,9,4,"8",1,70,"48.321",70,192.475
217,28,17,8,"9",0,70,"58.834",67,192.043
218,28,2,15,"10",0,70,"+1:07.709",67,191.908
219,28,14,13,"11",0,70,"+1:10.407",67,190.634
220,28,18,12,"12",0,69,"",63,191.409
221,28,6,16,"13",0,69,"",67,189.319
222,28,3,14,"14",0,69,"",57,191.409
223,28,21,18,"15",0,69,"",68,190.844
224,28,22,17,"16",0,68,"",65,191.319
225,28,13,3,"17",0,67,"",16,193.861
226,28,7,19,"18",0,67,"",29,189.516
227,28,16,20,"R",0,62,"",29,188.542
228,28,20,11,"R",0,22,"",17,187.262
229,29,13,1,"1",10,57,"35:32.3",36,197.637
230,29,1,2,"2",8,57,"5.611",16,197.285
231,29,9,3,"3",6,57,"37.353",38,196.399
232,29,5,5,"4",5,57,"39.703",19,196.831
233,29,15,7,"5",4,57,"50.684",37,195.755
234,29,20,6,"6",3,57,"52.625",36,196.093
235,29,10,13,"7",2,57,"+1:07.990",54,195.995
236,29,3,9,"8",1,57,"+1:11.457",35,195.912
237,29,2,8,"9",0,57,"+1:22.177",57,196.013
238,29,7,10,"10",0,57,"+1:29.794",35,195.79
239,29,12,15,"11",0,57,"+1:32.717",29,195.977
240,29,17,14,"12",0,56,"",27,194.57
241,29,18,16,"13",0,56,"",21,193.606
242,29,21,18,"14",0,56,"",54,194.397
243,29,6,11,"15",0,56,"",56,195.469
244,29,22,19,"16",0,56,"",56,193.933
245,29,14,17,"17",0,56,"",13,193.194
246,29,8,4,"R",0,45,"",34,196.214
247,29,16,20,"R",0,41,"",28,193.802
248,29,4,12,"R",0,0,"",,
249,30,13,2,"1",10,44,"22:59.4",26,232.987
250,30,2,5,"2",8,44,"9.383",36,231.182
251,30,1,1,"3",6,44,"10.539",20,233.175
252,30,4,6,"4",5,44,"14.478",25,230.82
253,30,20,10,"5",4,44,"14.576",16,231.142
254,30,9,8,"6",3,44,"15.037",36,231.399
255,30,7,9,"7",2,44,"16.735",31,231.32
256,30,17,7,"8",1,44,"42.776",34,230.236
257,30,10,13,"9",0,44,"+1:07.045",37,228.691
258,30,5,3,"10",0,43,"",35,232.985
259,30,14,14,"11",0,43,"",19,228.853
260,30,3,15,"12",0,43,"",32,227.862
261,30,16,18,"13",0,43,"",27,228.211
262,30,6,19,"14",0,43,"",35,227.218
263,30,18,17,"15",0,43,"",19,227.832
264,30,15,11,"16",0,43,"",32,228.095
265,30,21,20,"17",0,43,"",17,225.731
266,30,8,4,"18",0,42,"",24,233.618
267,30,22,16,"R",0,19,"",10,224.983
268,30,12,12,"R",0,13,"",12,226.915
269,31,20,1,"1",10,53,"26:47.5",53,230.414
270,31,5,2,"2",8,53,"12.512",53,230.95
271,31,9,11,"3",6,53,"20.471",52,230.955
272,31,4,8,"4",5,53,"23.903",51,231.82
273,31,2,10,"5",4,53,"27.748",53,232.217
274,31,13,6,"6",3,53,"28.816",52,232.505
275,31,1,15,"7",2,53,"29.912",52,232.44
276,31,17,3,"8",1,53,"32.048",52,232.544
277,31,8,14,"9",0,53,"39.468",53,236.859
278,31,12,17,"10",0,53,"54.445",53,229.38
279,31,10,9,"11",0,53,"58.888",53,231.853
280,31,6,18,"12",0,53,"+1:02.015",53,231.167
281,31,15,7,"13",0,53,"+1:05.954",52,229.544
282,31,3,5,"14",0,53,"+1:08.635",53,231.671
283,31,18,19,"15",0,53,"+1:13.370",52,232.166
284,31,14,13,"16",0,52,"",49,225.557
285,31,22,16,"17",0,52,"",42,222.053
286,31,7,4,"18",0,52,"",52,233.646
287,31,16,20,"19",0,51,"",51,223.146
288,31,21,12,"R",0,11,"",6,214.326
289,32,4,15,"1",10,61,"57:16.3",55,172.464
290,32,3,8,"2",8,61,"2.957",39,171.352
291,32,1,2,"3",6,61,"5.917",14,171.969
292,32,10,7,"4",5,61,"8.155",50,170.408
293,32,20,6,"5",4,61,"10.268",13,170.047
294,32,2,9,"6",3,61,"11.101",14,169.992
295,32,14,14,"7",2,61,"16.387",41,169.587
296,32,6,10,"8",1,61,"18.489",13,170.022
297,32,18,12,"9",0,61,"19.885",61,168.7
298,32,5,5,"10",0,61,"26.902",14,169.943
299,32,9,4,"11",0,61,"27.975",14,170.639
300,32,7,17,"12",0,61,"29.432",29,169.181
301,32,13,1,"13",0,61,"35.17",13,172.482
302,32,21,20,"14",0,61,"43.571",28,167.195
303,32,8,3,"15",0,57,"",14,172.74
304,32,15,11,"R",0,50,"",32,170.523
305,32,16,19,"R",0,49,"",38,166.936
306,32,17,13,"R",0,29,"",13,167.069
307,32,22,18,"R",0,14,"",13,165.348
308,32,12,16,"R",0,13,"",13,165.154
309,33,4,4,"1",10,67,"30:21.9",41,207.668
310,33,9,6,"2",8,67,"5.283",16,207.168
311,33,8,2,"3",6,67,"6.4",66,207.947
312,33,12,12,"4",5,67,"20.57",54,207.411
313,33,15,7,"5",4,67,"23.767",18,206.564
314,33,20,9,"6",3,67,"39.207",21,206.322
315,33,13,5,"7",2,67,"46.158",55,209.456
316,33,17,13,"8",1,67,"50.811",30,205.798
317,33,2,16,"9",0,67,"54.12",67,206.727
318,33,7,10,"10",0,67,"59.085",49,207.246
319,33,3,15,"11",0,67,"+1:02.096",66,206.545
320,33,1,1,"12",0,67,"+1:18.900",65,206.47
321,33,22,17,"13",0,66,"",66,203.869
322,33,18,18,"14",0,66,"",66,203.178
323,33,6,14,"15",0,66,"",32,204.404
324,33,21,20,"R",0,21,"",20,201.365
325,33,5,3,"R",0,16,"",12,207.257
326,33,16,19,"R",0,8,"",6,202.327
327,33,10,8,"R",0,6,"",4,204.685
328,33,14,11,"R",0,0,"",,
329,34,1,1,"1",10,56,"31:57.4",13,203.722
330,34,13,3,"2",8,56,"14.925",36,203.161
331,34,8,2,"3",6,56,"16.445",14,203.389
332,34,4,4,"4",5,56,"18.37",56,203.018
333,34,2,9,"5",4,56,"28.923",56,203.357
334,34,9,11,"6",3,56,"33.219",56,202.61
335,34,10,12,"7",2,56,"41.722",56,202.876
336,34,12,10,"8",1,56,"56.645",56,202.313
337,34,20,6,"9",0,56,"+1:04.339",55,201.863
338,34,14,15,"10",0,56,"+1:14.842",27,200.746
339,34,22,13,"11",0,56,"+1:25.061",56,200.558
340,34,6,17,"12",0,56,"+1:30.847",54,200.202
341,34,7,8,"13",0,56,"+1:31.457",36,201.366
342,34,17,16,"14",0,56,"+1:32.422",10,200.896
343,34,3,14,"15",0,55,"",38,201.793
344,34,18,18,"16",0,55,"",54,200.705
345,34,21,20,"17",0,55,"",54,199.483
346,34,5,5,"R",0,49,"",32,201.677
347,34,16,19,"R",0,13,"",13,196.86
348,34,15,7,"R",0,2,"",2,122.945
349,35,13,1,"1",10,71,"34:11.4",36,210.377
350,35,4,6,"2",8,71,"13.298",39,208.98
351,35,8,3,"3",6,71,"16.235",59,209.296
352,35,20,7,"4",5,71,"38.011",25,209.022
353,35,1,4,"5",4,71,"38.907",31,209.177
354,35,10,10,"6",3,71,"44.368",32,209.465
355,35,5,5,"7",2,71,"55.074",36,209.042
356,35,15,2,"8",1,71,"+1:08.433",40,209.155
357,35,17,12,"9",0,71,"+1:19.666",40,206.741
358,35,2,8,"10",0,70,"",41,207.796
359,35,9,13,"11",0,70,"",61,208.57
360,35,3,18,"12",0,70,"",35,207.014
361,35,18,17,"13",0,70,"",59,207.498
362,35,7,9,"14",0,70,"",57,206.967
363,35,22,15,"15",0,70,"",35,205.696
364,35,16,20,"16",0,69,"",60,204.721
365,35,6,16,"17",0,69,"",50,204.473
366,35,21,19,"18",0,69,"",36,206.249
367,35,12,11,"R",0,0,"",,
368,35,14,14,"R",0,0,"",,
369,36,8,1,"1",10,58,"25:28.8",41,223.978
370,36,4,2,"2",8,58,"7.242",20,221.178
371,36,1,4,"3",6,58,"18.595",20,221.083
372,36,2,3,"4",5,58,"38.763",37,220.137
373,36,21,6,"5",4,58,"+1:06.469",18,219.707
374,36,13,22,"6",3,58,"+1:06.805",28,219.323
375,36,3,12,"7",2,57,"",40,220.14
376,36,23,9,"8",1,57,"",42,217.444
377,36,15,8,"9",0,57,"",45,216.857
378,36,5,13,"10",0,57,"",44,217.951
379,36,22,16,"11",0,57,"",17,216.699
380,36,11,10,"12",0,57,"",20,215.746
381,36,17,7,"13",0,57,"",21,218.178
382,36,24,19,"14",0,57,"",44,216.247
383,36,18,14,"15",0,57,"",42,215.991
384,36,19,11,"16",0,56,"",41,215.742
385,36,16,20,"17",0,56,"",40,215.26
386,36,25,15,"R",0,48,"",24,216.196
387,36,14,18,"R",0,48,"",44,217.668
388,36,9,5,"R",0,36,"",19,220.341
389,36,26,17,"R",0,28,"",22,214.616
390,36,27,21,"R",0,10,"",9,210.022
391,37,4,2,"1",10,56,"32:14.9",42,206.014
392,37,1,4,"2",8,56,"17.557",22,206.355
393,37,8,3,"3",6,56,"18.339",40,205.237
394,37,2,5,"4",5,56,"33.777",55,204.838
395,37,13,1,"5",4,56,"36.705",42,205.298
396,37,21,12,"6",3,56,"+1:05.638",44,203.872
397,37,15,8,"7",2,56,"+1:10.132",40,203.587
398,37,5,11,"8",1,56,"+1:12.015",41,204.015
399,37,25,19,"9",0,56,"+1:29.924",19,203.903
400,37,17,10,"10",0,56,"+1:33.556",55,202.504
401,37,22,22,"11",0,55,"",32,202.451
402,37,18,15,"12",0,55,"",54,202.262
403,37,11,14,"13",0,55,"",37,202.595
404,37,26,17,"14",0,55,"",54,201.364
405,37,23,9,"15",0,55,"",52,201.07
406,37,19,18,"16",0,55,"",32,200.417
407,37,24,16,"17",0,55,"",21,202.695
408,37,9,7,"18",0,55,"",53,201.82
409,37,3,6,"R",0,42,"",18,204.237
410,37,14,13,"R",0,36,"",28,203.416
411,37,27,20,"R",0,7,"",5,196.608
412,37,16,21,"R",0,0,"",,
413,38,13,1,"1",10,57,"33:27.5",42,207.12
414,38,1,2,"2",8,57,"2.36",18,206.674
415,38,8,3,"3",6,57,"10.839",39,206.483
